PID,Sale_Price
911102090,85065.2
907203060,122956.4
534431020,139332.3
535150070,115425.6
528456190,213492.0
908152080,129187.8
533128030,271804.0
531450030,187299.9
533221090,166270.1
528118020,319702.6
534276290,108046.4
904351240,93808.4
527216070,447154.0
902302150,133294.1
903200050,82259.6
907131060,169566.7
534201260,137857.0
535352080,112552.2
534402060,144799.3
905102170,133615.0
907255010,227745.7
907202190,130904.1
911128010,110402.7
909101330,42913.2
905401020,250587.0
905105010,126793.3
533215030,233806.4
923203140,154287.0
916380070,328441.1
528480180,257192.0
907230240,141575.1
528482090,299140.9
527451550,107814.8
905104210,112412.3
527405160,110083.9
906223060,203575.7
528327070,353441.4
908152290,161389.3
528348030,267457.7
531450090,164637.1
906380010,197645.4
527402150,138711.8
923275200,135001.5
535452090,125033.4
907202080,134382.6
902328040,125113.1
528228460,160677.9
903205085,110861.3
902305110,149647.7
907260030,187332.6
923226250,91984.1
528431120,263855.4
528480170,261402.2
903236040,111876.8
527107120,184767.5
902109010,99543.6
907200190,134623.4
534429030,95435.8
528456180,241695.4
528290120,171430.8
535180120,129991.1
534402170,183526.1
902301120,126962.5
526355190,289174.4
909100150,118056.5
906382020,210896.7
906392070,191033.2
527326040,173159.7
907270040,278012.9
902406070,157589.7
535151020,140451.5
528354100,272095.6
924100020,173770.4
528180130,247531.5
535150300,235188.6
535152150,183478.3
535457040,124824.5
528275160,259559.2
908102100,148231.8
907203010,128311.2
909276010,203887.3
903429080,164003.5
535350040,135608.9
907201230,171981.4
909276210,156769.4
533223020,165104.0
528120150,301665.9
909475140,304163.8
528106110,496294.1
923202015,193960.1
534275060,131268.2
534277060,110351.5
526351100,168380.5
535377070,64520.0
905479110,122355.6
528181070,214852.2
533253050,173472.7
914476130,162260.9
535125070,236944.5
528186190,206218.5
923426070,136566.6
911370500,301033.7
533254130,177343.6
535426130,194270.5
527425060,112204.9
905451050,147696.3
904100090,175770.6
532354160,127033.3
528118090,550037.8
533213020,194490.7
916477010,341121.4
534403050,145586.7
924152030,210080.1
535155110,137817.9
527110080,181135.8
528235200,177368.3
902201120,90445.0
527354200,193041.0
528439030,235726.8
527365030,235309.9
907254020,244106.6
528174030,196108.3
531363040,148381.9
907200340,133803.8
908102060,67584.0
905300080,135799.0
535455090,121555.9
533252130,209533.0
909251050,159578.1
528228545,175556.2
531363010,175598.9
532353030,144332.9
527302020,208592.2
907227050,127539.1
535457090,149547.3
528168040,301141.4
905226080,164486.9
534177180,259150.4
528222010,277656.3
909176150,120326.7
527165010,183968.3
531375120,159978.0
535383120,80024.2
535452060,128727.5
903454090,128420.0
910203100,61759.7
528431080,220390.6
909250220,140058.5
527425140,115165.6
528106060,320992.9
917425190,210014.6
527302110,225802.5
905452050,90666.0
907290140,143609.3
533236060,197693.2
535375010,91489.5
923202105,178298.2
527451290,92065.4
531453010,138278.5
528228340,197814.6
902401060,88696.7
908102320,153962.0
903204095,98929.7
908102300,103942.0
527455270,107529.0
902100010,101545.5
906378110,222770.2
527455280,155406.4
923276260,139595.6
527355060,177622.1
907412010,194789.1
535354200,150539.2
528326060,259036.6
533206020,230559.5
528174050,203431.8
533244030,238231.9
906201050,169318.2
916403130,250468.9
527212030,442658.0
903233100,127289.2
528480020,230055.8
528118040,420572.8
905104080,110422.4
535451230,104351.4
535379060,98475.5
903233220,124988.3
534475100,120442.1
533250190,243616.3
532376110,124530.0
907280090,237657.2
528228455,169757.4
527404050,129146.0
534275010,132882.2
905477010,99525.0
527252080,344335.3
528292030,272208.1
906394050,177528.3
903425245,166445.7
535175050,146595.3
906385020,173700.0
907410020,178158.8
908152280,161399.0
534428060,123292.9
906412010,393420.1
905476230,126767.3
902406020,120553.6
531382090,170074.5
534278190,117768.6
903202170,146219.7
534204120,150928.6
904101110,165329.9
909427230,275657.2
909250030,105897.2
527403310,152926.9
533236070,202455.8
907420040,172589.8
905107280,159574.0
527302060,196777.5
534401120,149694.1
532351050,122735.2
916226030,198737.6
908275240,107193.6
528102050,379694.3
528480070,261276.9
528172050,245987.6
535477020,165613.4
528188150,180065.6
902327040,123012.8
902110120,128150.0
903231220,88938.7
902201130,115142.2
534177210,162533.0
535180130,116363.7
528228450,181615.5
531376060,181969.2
904100190,107131.5
534278230,142643.9
907200270,139099.9
526354070,190643.5
528429090,317539.4
923228260,90128.5
534152100,184451.6
528365080,289521.0
535453070,165854.5
916326090,239350.8
534152120,161294.8
528358030,327885.9
535301060,157310.9
535452140,115237.2
903206160,141046.9
535476370,179582.6
531376010,175851.5
914478110,169885.2
905480090,88346.5
909251080,141460.7
910206110,103808.4
916325040,213069.3
903430070,90837.8
907285040,253693.4
535425050,151402.9
528178070,363474.6
903458010,100201.6
533215080,261373.9
905450020,151911.5
909426060,263907.0
902330040,173970.5
902304040,134201.1
534451110,115680.6
534475160,132248.0
528138010,357802.5
534202170,153934.7
534102025,225290.4
908102290,102526.3
903232100,137359.7
907414060,184201.7
923225510,135967.2
535327210,149129.0
905102060,134187.0
535104120,186218.5
534453150,116989.7
531450170,166575.9
906201120,229807.5
909275230,177122.9
534151175,260582.6
527182020,163840.5
528102030,351419.3
527450080,117164.7
535153140,178262.2
535376060,142913.5
907250020,236160.0
905452150,136802.5
527252090,320270.8
533242030,222064.8
907201160,138986.3
906475050,172576.8
907410040,198241.2
535325460,196944.4
535450100,129524.5
905103180,132451.0
903233030,128660.2
